OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
360,183104,2065,1079,465,54,4,409,2,5,47,1660,825,415,43,4,341,2,4,26,779,748,31,Tract: 1831.04\nTotal Population: 2065,navigatela/reports/census_tracts_2010.cfm?PK=183104
361,183220,4114,3072,356,57,9,567,4,19,30,2995,2148,292,41,9,472,4,8,21,1184,1123,61,Tract: 1832.20\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=183220
362,183221,3118,2062,654,83,11,260,5,1,42,2328,1430,580,49,10,228,3,0,28,1051,998,53,Tract: 1832.21\nTotal Population: 3118,navigatela/reports/census_tracts_2010.cfm?PK=183221
363,183222,3483,1712,924,102,13,626,3,9,94,2843,1312,843,86,10,524,3,6,59,1361,1291,70,Tract: 1832.22\nTotal Population: 3483,navigatela/reports/census_tracts_2010.cfm?PK=183222
364,183300,3480,2504,304,16,7,602,2,15,30,2557,1757,255,10,7,506,2,5,15,1041,990,51,Tract: 1833.00\nTotal Population: 3480,navigatela/reports/census_tracts_2010.cfm?PK=183300
365,183401,2543,1565,398,34,10,486,2,4,44,1991,1174,347,26,7,403,2,2,30,850,812,38,Tract: 1834.01\nTotal Population: 2543,navigatela/reports/census_tracts_2010.cfm?PK=183401
366,183402,2820,1326,505,46,1,892,5,6,39,2228,968,467,39,1,715,5,6,27,994,914,80,Tract: 1834.02\nTotal Population: 2820,navigatela/reports/census_tracts_2010.cfm?PK=183402
367,183510,2725,2131,303,18,6,235,0,2,30,2050,1547,258,16,5,203,0,1,20,783,759,24,Tract: 1835.10\nTotal Population: 2725,navigatela/reports/census_tracts_2010.cfm?PK=183510
368,183520,3881,3314,340,50,7,137,3,7,23,2715,2223,302,38,7,122,3,4,16,1131,1072,59,Tract: 1835.20\nTotal Population: 3881,navigatela/reports/census_tracts_2010.cfm?PK=183520
369,183610,3275,2641,270,65,7,237,2,15,38,2367,1838,233,53,6,204,2,7,24,1021,934,87,Tract: 1836.10\nTotal Population: 3275,navigatela/reports/census_tracts_2010.cfm?PK=183610
370,183620,3264,2409,404,37,13,355,1,7,38,2360,1630,365,29,11,293,1,4,27,1018,962,56,Tract: 1836.20\nTotal Population: 3264,navigatela/reports/census_tracts_2010.cfm?PK=183620
371,183701,3922,3260,321,106,16,178,0,4,37,2827,2241,297,85,11,161,0,3,29,1366,1263,103,Tract: 1837.01\nTotal Population: 3922,navigatela/reports/census_tracts_2010.cfm?PK=183701
372,183702,2802,1618,454,113,7,557,1,5,47,2225,1188,414,88,6,487,1,3,38,1103,1048,55,Tract: 1837.02\nTotal Population: 2802,navigatela/reports/census_tracts_2010.cfm?PK=183702
373,183810,4369,3825,276,53,5,155,3,1,51,3026,2546,248,44,5,143,3,1,36,1369,1276,93,Tract: 1838.10\nTotal Population: 4369,navigatela/reports/census_tracts_2010.cfm?PK=183810
374,183820,3464,3053,178,55,5,146,3,9,15,2365,2017,154,42,3,127,2,6,14,1061,1000,61,Tract: 1838.20\nTotal Population: 3464,navigatela/reports/census_tracts_2010.cfm?PK=183820
375,185100,6295,3340,1992,165,13,619,4,14,148,5031,2434,1784,148,13,554,4,10,84,2338,2240,98,Tract: 1851.00\nTotal Population: 6295,navigatela/reports/census_tracts_2010.cfm?PK=185100
376,185202,3712,2377,889,113,9,250,1,13,60,2858,1698,790,90,8,217,1,11,43,1379,1308,71,Tract: 1852.02\nTotal Population: 3712,navigatela/reports/census_tracts_2010.cfm?PK=185202
377,185203,3200,2712,237,42,4,184,0,5,16,2319,1896,212,32,3,162,0,5,9,934,893,41,Tract: 1852.03\nTotal Population: 3200,navigatela/reports/census_tracts_2010.cfm?PK=185203
378,185204,2091,896,581,54,1,492,1,3,63,1664,641,496,46,1,444,1,3,32,742,705,37,Tract: 1852.04\nTotal Population: 2091,navigatela/reports/census_tracts_2010.cfm?PK=185204
379,185310,3061,2754,93,14,8,180,0,5,7,2173,1942,59,12,4,147,0,3,6,865,818,47,Tract: 1853.10\nTotal Population: 3061,navigatela/reports/census_tracts_2010.cfm?PK=185310
380,185320,3081,2774,113,17,5,155,0,3,14,2278,2012,106,15,4,125,0,3,13,921,856,65,Tract: 1853.20\nTotal Population: 3081,navigatela/reports/census_tracts_2010.cfm?PK=185320
381,186100,4715,1648,1430,64,8,1407,8,14,136,3839,1271,1256,61,6,1146,6,7,86,1857,1756,101,Tract: 1861.00\nTotal Population: 4715,navigatela/reports/census_tracts_2010.cfm?PK=186100
382,186201,3068,1299,475,67,17,1147,1,9,53,2483,965,435,57,11,965,1,4,45,1181,1124,57,Tract: 1862.01\nTotal Population: 3068,navigatela/reports/census_tracts_2010.cfm?PK=186201
383,186202,1974,886,315,40,1,695,2,5,30,1571,642,285,34,1,579,2,3,25,731,683,48,Tract: 1862.02\nTotal Population: 1974,navigatela/reports/census_tracts_2010.cfm?PK=186202
384,186203,2936,1453,905,58,1,410,1,17,91,2326,1073,788,50,1,358,1,6,49,1094,1033,61,Tract: 1862.03\nTotal Population: 2936,navigatela/reports/census_tracts_2010.cfm?PK=186203
385,186301,2999,2205,378,76,1,297,2,1,39,2103,1422,345,57,1,244,2,1,31,939,870,69,Tract: 1863.01\nTotal Population: 2999,navigatela/reports/census_tracts_2010.cfm?PK=186301
386,186302,5198,2864,1098,97,11,1004,4,13,107,4077,2054,997,93,10,853,4,8,58,1830,1726,104,Tract: 1863.02\nTotal Population: 5198,navigatela/reports/census_tracts_2010.cfm?PK=186302
387,186401,3452,2856,109,23,0,432,2,5,25,2370,1886,95,18,0,348,2,1,20,989,946,43,Tract: 1864.01\nTotal Population: 3452,navigatela/reports/census_tracts_2010.cfm?PK=186401
388,186403,2899,2078,181,28,3,579,4,0,26,2206,1494,166,21,3,501,2,0,19,842,802,40,Tract: 1864.03\nTotal Population: 2899,navigatela/reports/census_tracts_2010.cfm?PK=186403
389,186404,2471,1925,175,14,4,334,0,7,12,1807,1345,159,11,4,277,0,2,9,711,675,36,Tract: 1864.04\nTotal Population: 2471,navigatela/reports/census_tracts_2010.cfm?PK=186404
390,187101,3235,1459,852,36,11,785,5,6,81,2677,1161,766,31,10,646,3,3,57,1281,1221,60,Tract: 1871.01\nTotal Population: 3235,navigatela/reports/census_tracts_2010.cfm?PK=187101
391,187102,3254,1954,522,45,4,681,5,6,37,2557,1437,469,37,4,576,4,4,26,1174,1095,79,Tract: 1871.02\nTotal Population: 3254,navigatela/reports/census_tracts_2010.cfm?PK=187102
392,187200,3132,2389,279,30,4,379,3,0,48,2351,1704,256,26,4,325,3,0,33,917,860,57,Tract: 1872.00\nTotal Population: 3132,navigatela/reports/census_tracts_2010.cfm?PK=187200
393,187300,3216,751,1639,90,6,600,5,8,117,2749,599,1480,80,5,504,4,5,72,1585,1485,100,Tract: 1873.00\nTotal Population: 3216,navigatela/reports/census_tracts_2010.cfm?PK=187300
394,188100,4076,2274,1111,93,6,521,0,10,61,3312,1703,1012,86,6,447,0,8,50,1773,1683,90,Tract: 1881.00\nTotal Population: 4076,navigatela/reports/census_tracts_2010.cfm?PK=188100
395,188201,3270,573,1974,137,5,461,0,6,114,2921,488,1792,127,5,419,0,5,85,1999,1881,118,Tract: 1882.01\nTotal Population: 3270,navigatela/reports/census_tracts_2010.cfm?PK=188201
396,188202,2347,294,1559,74,1,345,2,6,66,2057,243,1380,69,1,312,2,6,44,1271,1149,122,Tract: 1882.02\nTotal Population: 2347,navigatela/reports/census_tracts_2010.cfm?PK=188202
397,188300,3536,1113,1283,28,2,1005,6,7,92,2987,879,1138,24,2,882,4,4,54,1463,1382,81,Tract: 1883.00\nTotal Population: 3536,navigatela/reports/census_tracts_2010.cfm?PK=188300
398,189101,2743,383,1826,76,7,343,1,5,102,2463,327,1655,68,6,322,1,4,80,1485,1381,104,Tract: 1891.01\nTotal Population: 2743,navigatela/reports/census_tracts_2010.cfm?PK=189101
399,189102,3096,350,2215,63,5,363,2,7,91,2863,313,2063,61,5,340,2,6,73,2037,1871,166,Tract: 1891.02\nTotal Population: 3096,navigatela/reports/census_tracts_2010.cfm?PK=189102
400,189201,3293,470,2269,117,3,330,2,5,97,3014,402,2100,110,3,309,2,5,83,2081,1966,115,Tract: 1892.01\nTotal Population: 3293,navigatela/reports/census_tracts_2010.cfm?PK=189201
401,189202,2718,271,1988,36,5,317,1,11,89,2373,219,1759,35,4,289,1,8,58,1355,1261,94,Tract: 1892.02\nTotal Population: 2718,navigatela/reports/census_tracts_2010.cfm?PK=189202
402,189300,3077,182,2340,71,1,401,0,8,74,2578,150,1954,65,1,357,0,7,44,1391,1292,99,Tract: 1893.00\nTotal Population: 3077,navigatela/reports/census_tracts_2010.cfm?PK=189300
403,189400,3448,215,2812,108,8,172,2,14,117,3070,182,2533,94,8,162,2,13,76,2020,1863,157,Tract: 1894.00\nTotal Population: 3448,navigatela/reports/census_tracts_2010.cfm?PK=189400
404,189500,4452,564,3213,206,13,272,2,20,162,4162,497,3050,201,13,244,2,14,141,2976,2796,180,Tract: 1895.00\nTotal Population: 4452,navigatela/reports/census_tracts_2010.cfm?PK=189500
405,189600,3529,487,2545,186,8,183,2,6,112,3219,411,2363,173,8,168,2,6,88,2262,1990,272,Tract: 1896.00\nTotal Population: 3529,navigatela/reports/census_tracts_2010.cfm?PK=189600
406,189701,3942,437,2803,206,7,334,3,23,129,3515,379,2532,186,7,295,3,23,90,2610,2098,512,Tract: 1897.01\nTotal Population: 3942,navigatela/reports/census_tracts_2010.cfm?PK=189701
407,189702,2227,207,1714,97,5,124,3,7,70,2034,186,1578,92,5,114,3,6,50,1595,1342,253,Tract: 1897.02\nTotal Population: 2227,navigatela/reports/census_tracts_2010.cfm?PK=189702
408,189800,4021,413,3115,167,3,202,1,11,109,3755,372,2921,158,3,195,1,11,94,2612,2405,207,Tract: 1898.00\nTotal Population: 4021,navigatela/reports/census_tracts_2010.cfm?PK=189800
409,189902,4971,510,3771,203,10,293,10,24,150,4706,477,3583,190,10,279,10,24,133,3176,2986,190,Tract: 1899.02\nTotal Population: 4971,navigatela/reports/census_tracts_2010.cfm?PK=189902
410,189903,2164,182,1673,98,3,129,3,12,64,2092,172,1624,92,3,124,3,11,63,1591,1491,100,Tract: 1899.03\nTotal Population: 2164,navigatela/reports/census_tracts_2010.cfm?PK=189903
411,189904,2260,301,1595,97,3,164,1,11,88,2118,267,1524,89,3,152,1,11,71,1496,1402,94,Tract: 1899.04\nTotal Population: 2260,navigatela/reports/census_tracts_2010.cfm?PK=189904
412,189905,2304,214,1813,77,4,120,2,9,65,2122,178,1690,68,4,115,2,8,57,1549,1435,114,Tract: 1899.05\nTotal Population: 2304,navigatela/reports/census_tracts_2010.cfm?PK=189905
413,190100,4481,817,2806,304,15,385,5,20,129,4217,729,2692,291,12,364,5,18,106,3019,2737,282,Tract: 1901.00\nTotal Population: 4481,navigatela/reports/census_tracts_2010.cfm?PK=190100
414,190201,2870,987,1374,259,17,149,6,9,69,2610,770,1353,254,12,144,5,9,63,1669,1488,181,Tract: 1902.01\nTotal Population: 2870,navigatela/reports/census_tracts_2010.cfm?PK=190201
415,190202,3044,712,1670,236,18,290,7,14,97,2910,630,1646,229,18,276,7,14,90,2201,2027,174,Tract: 1902.02\nTotal Population: 3044,navigatela/reports/census_tracts_2010.cfm?PK=190202
416,190301,4758,1163,2860,235,7,325,1,16,151,4355,992,2675,224,7,308,1,13,135,2767,2411,356,Tract: 1903.01\nTotal Population: 4758,navigatela/reports/census_tracts_2010.cfm?PK=190301
417,190401,3135,677,1862,134,12,337,1,6,106,2831,551,1730,129,11,313,1,3,93,1823,1714,109,Tract: 1904.01\nTotal Population: 3135,navigatela/reports/census_tracts_2010.cfm?PK=190401
418,190402,2487,444,1494,112,3,346,1,4,83,2219,359,1376,99,3,308,1,4,69,1397,1324,73,Tract: 1904.02\nTotal Population: 2487,navigatela/reports/census_tracts_2010.cfm?PK=190402
419,190510,4227,1663,1391,312,6,733,5,11,106,3429,1204,1233,262,5,617,5,8,95,1763,1648,115,Tract: 1905.10\nTotal Population: 4227,navigatela/reports/census_tracts_2010.cfm?PK=190510
420,190520,3728,1408,1592,92,4,537,0,15,80,3046,1027,1393,83,4,470,0,6,63,1646,1563,83,Tract: 1905.20\nTotal Population: 3728,navigatela/reports/census_tracts_2010.cfm?PK=190520
421,190700,3379,1160,1591,304,12,209,10,10,83,3094,959,1542,292,12,196,10,10,73,2033,1821,212,Tract: 1907.00\nTotal Population: 3379,navigatela/reports/census_tracts_2010.cfm?PK=190700
422,190801,2594,1200,944,173,4,207,3,12,51,2281,955,909,165,4,188,3,9,48,1495,1331,164,Tract: 1908.01\nTotal Population: 2594,navigatela/reports/census_tracts_2010.cfm?PK=190801
423,190802,2784,1396,971,118,5,244,1,11,38,2348,1069,913,108,5,210,1,5,37,1393,1280,113,Tract: 1908.02\nTotal Population: 2784,navigatela/reports/census_tracts_2010.cfm?PK=190802
424,190901,4742,3608,666,173,4,235,2,10,44,3620,2630,565,166,4,206,2,9,38,1553,1492,61,Tract: 1909.01\nTotal Population: 4742,navigatela/reports/census_tracts_2010.cfm?PK=190901
425,190902,3960,2405,1101,123,1,255,2,23,50,3145,1755,990,117,1,227,2,9,44,1665,1552,113,Tract: 1909.02\nTotal Population: 3960,navigatela/reports/census_tracts_2010.cfm?PK=190902
426,191000,3228,1426,1177,285,16,222,6,12,84,2795,1101,1134,256,13,202,6,11,72,2075,1403,672,Tract: 1910.00\nTotal Population: 3228,navigatela/reports/census_tracts_2010.cfm?PK=191000
427,191110,3338,1221,1585,102,7,335,2,11,75,2886,924,1488,99,7,296,2,3,67,1197,1130,67,Tract: 1911.10\nTotal Population: 3338,navigatela/reports/census_tracts_2010.cfm?PK=191110
428,191120,4135,2221,1234,159,6,402,2,16,95,3383,1638,1135,149,6,367,1,13,74,1623,1527,96,Tract: 1911.20\nTotal Population: 4135,navigatela/reports/census_tracts_2010.cfm?PK=191120
429,191201,4591,1374,2319,146,13,597,9,13,120,4009,1054,2160,142,12,516,8,8,109,1784,1647,137,Tract: 1912.01\nTotal Population: 4591,navigatela/reports/census_tracts_2010.cfm?PK=191201
430,191203,2922,1319,801,128,7,603,0,5,59,2421,1003,734,108,6,520,0,4,46,1248,1178,70,Tract: 1912.03\nTotal Population: 2922,navigatela/reports/census_tracts_2010.cfm?PK=191203
431,191204,2124,974,701,52,2,343,3,8,41,1739,720,613,50,2,313,3,2,36,884,825,59,Tract: 1912.04\nTotal Population: 2124,navigatela/reports/census_tracts_2010.cfm?PK=191204
432,191301,2327,1319,411,94,3,469,0,2,29,1908,1007,384,80,2,408,0,2,25,969,913,56,Tract: 1913.01\nTotal Population: 2327,navigatela/reports/census_tracts_2010.cfm?PK=191301
433,191302,2422,1151,498,81,6,641,1,8,36,1987,844,484,75,6,542,1,6,29,1034,989,45,Tract: 1913.02\nTotal Population: 2422,navigatela/reports/census_tracts_2010.cfm?PK=191302
434,191410,5092,3723,304,185,6,794,10,18,52,3884,2690,276,160,6,696,5,8,43,1781,1690,91,Tract: 1914.10\nTotal Population: 5092,navigatela/reports/census_tracts_2010.cfm?PK=191410
435,191420,3365,2355,293,47,0,620,2,12,36,2529,1672,259,40,0,518,2,8,30,1203,1117,86,Tract: 1914.20\nTotal Population: 3365,navigatela/reports/census_tracts_2010.cfm?PK=191420
436,191500,5551,3369,945,79,13,1053,0,8,84,4208,2359,802,74,10,894,0,4,65,1808,1705,103,Tract: 1915.00\nTotal Population: 5551,navigatela/reports/census_tracts_2010.cfm?PK=191500
437,191610,4502,3380,473,68,2,514,0,22,43,3415,2454,425,62,1,434,0,12,27,1487,1393,94,Tract: 1916.10\nTotal Population: 4502,navigatela/reports/census_tracts_2010.cfm?PK=191610
438,191620,2789,1681,563,101,9,395,0,4,36,2259,1258,514,85,7,365,0,1,29,1175,1125,50,Tract: 1916.20\nTotal Population: 2789,navigatela/reports/census_tracts_2010.cfm?PK=191620
439,191710,3231,2167,617,81,1,312,6,5,42,2552,1626,536,75,1,278,6,3,27,1356,1271,85,Tract: 1917.10\nTotal Population: 3231,navigatela/reports/census_tracts_2010.cfm?PK=191710
440,191720,3770,2762,504,119,0,343,2,8,32,2892,1997,448,105,0,307,2,5,28,1364,1295,69,Tract: 1917.20\nTotal Population: 3770,navigatela/reports/census_tracts_2010.cfm?PK=191720
441,191810,3498,2544,597,145,2,146,1,13,50,2679,1793,560,128,2,137,0,10,49,1423,1292,131,Tract: 1918.10\nTotal Population: 3498,navigatela/reports/census_tracts_2010.cfm?PK=191810
442,191820,2647,1398,789,111,4,268,6,18,53,2186,1039,749,105,4,228,6,11,44,1329,1225,104,Tract: 1918.20\nTotal Population: 2647,navigatela/reports/census_tracts_2010.cfm?PK=191820
443,191901,3355,888,1784,226,8,308,6,42,93,3022,722,1684,213,8,277,6,32,80,1890,1771,119,Tract: 1919.01\nTotal Population: 3355,navigatela/reports/census_tracts_2010.cfm?PK=191901
444,191902,2867,391,2017,93,4,278,2,11,71,2451,340,1720,81,4,241,2,9,54,1556,1467,89,Tract: 1919.02\nTotal Population: 2867,navigatela/reports/census_tracts_2010.cfm?PK=191902
445,192001,2466,294,1828,127,5,144,3,3,62,2158,265,1559,126,5,139,3,3,58,1317,1234,83,Tract: 1920.01\nTotal Population: 2466,navigatela/reports/census_tracts_2010.cfm?PK=192001
446,192002,2735,215,2188,67,6,156,2,5,96,2403,190,1928,58,6,148,2,5,66,1454,1361,93,Tract: 1920.02\nTotal Population: 2735,navigatela/reports/census_tracts_2010.cfm?PK=192002
447,192300,2799,222,1873,115,0,486,0,10,93,2505,199,1693,109,0,434,0,8,62,1728,1586,142,Tract: 1923.00\nTotal Population: 2799,navigatela/reports/census_tracts_2010.cfm?PK=192300
448,192410,3628,907,1645,115,3,848,2,17,91,3078,705,1453,105,3,736,2,13,61,1858,1728,130,Tract: 1924.10\nTotal Population: 3628,navigatela/reports/census_tracts_2010.cfm?PK=192410
449,192420,3637,1640,404,92,7,1421,4,17,52,2954,1243,386,77,5,1193,4,9,37,1508,1359,149,Tract: 1924.20\nTotal Population: 3637,navigatela/reports/census_tracts_2010.cfm?PK=192420
450,192510,3670,1851,175,37,6,1555,1,6,39,2845,1334,158,33,5,1276,1,3,35,1243,1134,109,Tract: 1925.10\nTotal Population: 3670,navigatela/reports/census_tracts_2010.cfm?PK=192510
451,192520,5067,3827,242,56,3,889,0,10,40,3706,2672,207,53,3,739,0,4,28,1623,1523,100,Tract: 1925.20\nTotal Population: 5067,navigatela/reports/census_tracts_2010.cfm?PK=192520
452,192610,4389,3253,354,104,11,595,3,12,57,3340,2362,318,89,9,514,3,5,40,1538,1453,85,Tract: 1926.10\nTotal Population: 4389,navigatela/reports/census_tracts_2010.cfm?PK=192610
453,192620,3868,2655,211,101,10,831,2,19,39,2959,1904,193,94,8,714,2,10,34,1338,1253,85,Tract: 1926.20\nTotal Population: 3868,navigatela/reports/census_tracts_2010.cfm?PK=192620
454,192700,3513,2085,349,175,9,834,7,5,49,2734,1493,315,159,9,709,7,4,38,1105,1010,95,Tract: 1927.00\nTotal Population: 3513,navigatela/reports/census_tracts_2010.cfm?PK=192700
455,194101,3091,288,2402,121,8,168,2,7,95,2794,261,2192,107,8,156,2,6,62,1890,1759,131,Tract: 1941.01\nTotal Population: 3091,navigatela/reports/census_tracts_2010.cfm?PK=194101
456,194102,3458,177,2838,109,4,225,2,11,92,2991,154,2469,96,4,201,2,6,59,1742,1623,119,Tract: 1941.02\nTotal Population: 3458,navigatela/reports/census_tracts_2010.cfm?PK=194102
457,194200,3588,242,3012,69,4,140,0,21,100,3093,198,2616,63,4,130,0,14,68,1982,1799,183,Tract: 1942.00\nTotal Population: 3588,navigatela/reports/census_tracts_2010.cfm?PK=194200
458,194300,3029,162,2601,64,3,114,3,6,76,2638,133,2293,57,3,100,3,5,44,1713,1543,170,Tract: 1943.00\nTotal Population: 3029,navigatela/reports/census_tracts_2010.cfm?PK=194300
459,194401,2461,249,1904,72,2,158,2,6,68,2285,213,1785,69,2,149,2,5,60,1392,1287,105,Tract: 1944.01\nTotal Population: 2461,navigatela/reports/census_tracts_2010.cfm?PK=194401
460,194402,3335,294,2653,73,5,206,6,10,88,3183,276,2546,69,5,196,6,7,78,2226,2054,172,Tract: 1944.02\nTotal Population: 3335,navigatela/reports/census_tracts_2010.cfm?PK=194402
461,194500,2037,108,1688,38,1,135,0,6,61,1745,80,1466,35,1,124,0,6,33,1034,958,76,Tract: 1945.00\nTotal Population: 2037,navigatela/reports/census_tracts_2010.cfm?PK=194500
462,195100,4717,672,2937,148,2,763,7,11,177,3933,534,2446,131,2,707,7,7,99,2189,2078,111,Tract: 1951.00\nTotal Population: 4717,navigatela/reports/census_tracts_2010.cfm?PK=195100
463,195201,2834,456,1851,65,2,346,4,11,99,2561,396,1677,60,2,330,4,9,83,1684,1598,86,Tract: 1952.01\nTotal Population: 2834,navigatela/reports/census_tracts_2010.cfm?PK=195201
464,195202,3185,420,2145,69,8,427,3,7,106,2687,330,1830,60,8,381,3,7,68,1526,1452,74,Tract: 1952.02\nTotal Population: 3185,navigatela/reports/census_tracts_2010.cfm?PK=195202
465,195300,3203,973,1637,55,7,442,0,6,83,2815,789,1495,55,7,398,0,5,66,1613,1526,87,Tract: 1953.00\nTotal Population: 3203,navigatela/reports/census_tracts_2010.cfm?PK=195300
466,195400,4395,1182,2353,118,6,599,2,14,121,3921,972,2188,108,6,547,2,12,86,2403,2267,136,Tract: 1954.00\nTotal Population: 4395,navigatela/reports/census_tracts_2010.cfm?PK=195400
467,195500,4971,1655,2162,92,3,896,6,20,137,4306,1316,1979,86,3,800,6,16,100,2406,2257,149,Tract: 1955.00\nTotal Population: 4971,navigatela/reports/census_tracts_2010.cfm?PK=195500
468,195600,3340,1860,832,87,3,470,4,15,69,2681,1366,771,75,3,397,4,11,54,1296,1225,71,Tract: 1956.00\nTotal Population: 3340,navigatela/reports/census_tracts_2010.cfm?PK=195600
469,195710,4328,2983,553,114,9,598,5,13,53,3338,2157,516,99,7,508,5,3,43,1374,1288,86,Tract: 1957.10\nTotal Population: 4328,navigatela/reports/census_tracts_2010.cfm?PK=195710
470,195720,2304,1668,394,27,5,170,2,7,31,1827,1236,370,25,5,154,2,7,28,882,825,57,Tract: 1957.20\nTotal Population: 2304,navigatela/reports/census_tracts_2010.cfm?PK=195720
471,195802,2881,1789,179,68,6,802,2,5,30,2219,1292,162,53,5,682,2,1,22,961,889,72,Tract: 1958.02\nTotal Population: 2881,navigatela/reports/census_tracts_2010.cfm?PK=195802
472,195803,2603,1242,850,41,12,405,3,5,45,2225,959,806,41,12,366,3,3,35,1223,1138,85,Tract: 1958.03\nTotal Population: 2603,navigatela/reports/census_tracts_2010.cfm?PK=195803
473,195804,2643,1413,634,60,3,471,2,15,45,2183,1081,591,52,3,406,2,7,41,1142,1073,69,Tract: 1958.04\nTotal Population: 2643,navigatela/reports/census_tracts_2010.cfm?PK=195804
474,195901,2235,851,982,88,6,238,3,12,55,1972,677,933,76,6,223,3,12,42,1173,1096,77,Tract: 1959.01\nTotal Population: 2235,navigatela/reports/census_tracts_2010.cfm?PK=195901
475,195902,1905,584,932,46,4,265,6,11,57,1678,456,873,46,4,242,6,9,42,1053,992,61,Tract: 1959.02\nTotal Population: 1905,navigatela/reports/census_tracts_2010.cfm?PK=195902
476,195903,2216,1130,497,70,6,473,1,1,38,1845,855,479,69,6,400,1,1,34,979,917,62,Tract: 1959.03\nTotal Population: 2216,navigatela/reports/census_tracts_2010.cfm?PK=195903
477,197200,3757,2048,125,23,7,1511,0,7,36,2948,1501,119,20,5,1275,0,5,23,1161,1106,55,Tract: 1972.00\nTotal Population: 3757,navigatela/reports/census_tracts_2010.cfm?PK=197200
478,197300,3909,1735,1292,58,7,714,1,3,99,3312,1343,1190,53,7,637,1,2,79,1786,1665,121,Tract: 1973.00\nTotal Population: 3909,navigatela/reports/census_tracts_2010.cfm?PK=197300
479,197410,3704,1401,1713,77,6,384,3,9,111,3111,1046,1544,70,6,360,3,9,73,1722,1593,129,Tract: 1974.10\nTotal Population: 3704,navigatela/reports/census_tracts_2010.cfm?PK=197410
480,197420,3509,2110,822,58,12,433,1,19,54,2846,1568,772,57,11,384,1,8,45,1391,1292,99,Tract: 1974.20\nTotal Population: 3509,navigatela/reports/census_tracts_2010.cfm?PK=197420
481,197500,3889,2251,959,66,8,531,1,11,62,3147,1649,910,55,6,460,1,10,56,1652,1499,153,Tract: 1975.00\nTotal Population: 3889,navigatela/reports/census_tracts_2010.cfm?PK=197500
482,197600,2376,1306,485,48,5,498,0,2,32,1902,934,457,36,5,445,0,2,23,957,871,86,Tract: 1976.00\nTotal Population: 2376,navigatela/reports/census_tracts_2010.cfm?PK=197600
483,197700,5103,1538,491,115,11,2854,6,13,75,4123,1113,475,100,11,2349,4,9,62,1933,1798,135,Tract: 1977.00\nTotal Population: 5103,navigatela/reports/census_tracts_2010.cfm?PK=197700
484,199000,5066,3099,133,40,7,1762,1,9,15,3669,2072,122,30,5,1420,1,6,13,1701,1504,197,Tract: 1990.00\nTotal Population: 5066,navigatela/reports/census_tracts_2010.cfm?PK=199000
485,199110,2710,2386,116,30,5,152,0,2,19,1972,1696,102,24,4,132,0,0,14,766,697,69,Tract: 1991.10\nTotal Population: 2710,navigatela/reports/census_tracts_2010.cfm?PK=199110
486,199120,4086,2964,100,43,15,938,1,9,16,2907,1968,83,34,9,795,1,5,12,1094,1010,84,Tract: 1991.20\nTotal Population: 4086,navigatela/reports/census_tracts_2010.cfm?PK=199120
487,199201,4089,2796,103,33,5,1119,1,12,20,2927,1910,83,26,5,878,1,11,13,1183,1123,60,Tract: 1992.01\nTotal Population: 4089,navigatela/reports/census_tracts_2010.cfm?PK=199201
488,199202,3031,2401,232,61,2,297,4,2,32,2206,1695,213,43,2,226,4,2,21,905,833,72,Tract: 1992.02\nTotal Population: 3031,navigatela/reports/census_tracts_2010.cfm?PK=199202
489,199300,3848,2584,659,102,18,401,1,12,71,2981,1892,598,82,12,343,1,10,43,1310,1216,94,Tract: 1993.00\nTotal Population: 3848,navigatela/reports/census_tracts_2010.cfm?PK=199300
490,199400,4668,3570,182,31,3,836,2,4,40,3394,2480,163,25,2,694,2,4,24,1348,1293,55,Tract: 1994.00\nTotal Population: 4668,navigatela/reports/census_tracts_2010.cfm?PK=199400
491,199700,3411,2368,375,28,7,612,1,3,17,2598,1696,359,26,5,495,1,3,13,1133,1078,55,Tract: 1997.00\nTotal Population: 3411,navigatela/reports/census_tracts_2010.cfm?PK=199700
492,199800,5631,3479,85,14,9,2026,0,6,12,4113,2434,64,11,8,1586,0,4,6,1544,1496,48,Tract: 1998.00\nTotal Population: 5631,navigatela/reports/census_tracts_2010.cfm?PK=199800
493,199900,2683,2128,34,26,0,476,5,6,8,1927,1461,31,25,0,399,2,2,7,813,771,42,Tract: 1999.00\nTotal Population: 2683,navigatela/reports/census_tracts_2010.cfm?PK=199900
494,201110,2574,2092,183,34,7,247,0,5,6,1926,1506,168,29,5,212,0,2,4,775,722,53,Tract: 2011.10\nTotal Population: 2574,navigatela/reports/census_tracts_2010.cfm?PK=201110
495,201120,4097,3364,226,79,5,389,1,4,29,3004,2369,210,64,5,329,1,4,22,1310,1223,87,Tract: 2011.20\nTotal Population: 4097,navigatela/reports/census_tracts_2010.cfm?PK=201120
